### DELAY ###

delay, 9064892514.31869

### AVERAGE THROUGHPUT ###

avr_thr, 296.76

### END TO END LOSS ###

e2e, 0.511559190756619

### FAIRNESS ###

fairness, 0.240179855855371

### TOTAL ENERGY USAGE ###

tot_ener, 10073.80402

### THROUGHPUT BY CYCLE ###

cycle, 300000000000,15.04
cycle, 275000000000,10.96
cycle, 475000000000,13.78
cycle, 25000000000,8.44
cycle, 250000000000,16.86
cycle, 400000000000,11.1
cycle, 75000000000,16.78
cycle, 425000000000,13.76
cycle, 350000000000,13.6
cycle, 325000000000,13.44
cycle, 100000000000,13.5
cycle, 375000000000,14.22
cycle, 125000000000,14.22
cycle, 175000000000,11.72
cycle, 50000000000,11.88
cycle, 225000000000,10.88
cycle, 150000000000,15.18
cycle, 200000000000,16.54
cycle, 450000000000,9.46
cycle, 500000000000,9.06

### ENERGY USAGE BY NODE ###

energy, 6,1045.373502
energy, 3,1177.879112
energy, 7,1117.231502
energy, 2,1290.415062
energy, 8,1090.046478
energy, 1,1276.073224
energy, 4,929.087888
energy, 0,1106.19832
energy, sum,10073.80402
energy, 5,1041.498932
