### DELAY ###

delay, 11605246269.818

### AVERAGE THROUGHPUT ###

avr_thr, 279.96

### END TO END LOSS ###

e2e, 0.48923584792732

### FAIRNESS ###

fairness, 0.258647822560881

### TOTAL ENERGY USAGE ###

tot_ener, 12364.008656

### THROUGHPUT BY CYCLE ###

cycle, 300000000000,12.3
cycle, 275000000000,12.4
cycle, 475000000000,11.98
cycle, 25000000000,8.44
cycle, 250000000000,12.7
cycle, 400000000000,12.54
cycle, 75000000000,12.54
cycle, 425000000000,11.94
cycle, 350000000000,12.22
cycle, 325000000000,12.16
cycle, 100000000000,11.52
cycle, 375000000000,12.02
cycle, 125000000000,12.44
cycle, 175000000000,12.54
cycle, 50000000000,12.12
cycle, 225000000000,12.1
cycle, 150000000000,12.12
cycle, 200000000000,12.2
cycle, 450000000000,12.46
cycle, 500000000000,12.4

### ENERGY USAGE BY NODE ###

energy, 6,1179.642872
energy, 3,1396.100676
energy, 7,1187.11486
energy, 2,1744.02648
energy, 8,1210.261008
energy, 1,1806.056234
energy, 4,1197.803692
energy, 0,1485.897574
energy, sum,12364.008656
energy, 5,1157.10526
